#Teff,Styp,nH,U,dZ,T_H0,T_H+,T_H2
36826,6.5,1.5,-1,-1,3.289,4.109,2.51
38151,6,1.5,-1,-1,3.42,4.125,2.54
40062,5.5,1.5,-1,-1,3.167,4.158,2.592
41540,5,1.5,-1,-1,3.236,4.165,2.265
43419,4,1.5,-1,-1,3.342,4.176,2.231
44616,3,1.5,-1,-1,3.454,4.184,2.292
30488,9.5,1.75,-3,-1,3.947,4.018,3.764
31524,9,1.75,-3,-1,3.95,4.026,3.75
32522,8.5,1.75,-3,-1,3.953,4.034,3.739
33383,8,1.75,-3,-1,3.956,4.041,3.732
34419,7.5,1.75,-3,-1,3.959,4.051,3.729
35531,7,1.75,-3,-1,3.961,4.059,3.723
36826,6.5,1.75,-3,-1,3.963,4.066,3.721
38151,6,1.75,-3,-1,3.965,4.077,3.724
40062,5.5,1.75,-3,-1,3.96,4.095,3.758
41540,5,1.75,-3,-1,3.959,4.098,3.773
43419,4,1.75,-3,-1,3.953,4.103,3.601
44616,3,1.75,-3,-1,3.954,4.106,3.612
30488,9.5,1.75,-2,-1,3.982,4.046,3.83
31524,9,1.75,-2,-1,3.982,4.056,3.778
32522,8.5,1.75,-2,-1,3.989,4.066,3.797
33383,8,1.75,-2,-1,3.992,4.075,3.78
34419,7.5,1.75,-2,-1,3.995,4.087,3.764
35531,7,1.75,-2,-1,3.998,4.097,3.746
36826,6.5,1.75,-2,-1,3.998,4.105,3.719
38151,6,1.75,-2,-1,4,4.117,3.685
40062,5.5,1.75,-2,-1,3.938,4.143,3.035
41540,5,1.75,-2,-1,3.918,4.148,2.987
43419,4,1.75,-2,-1,3.927,4.156,3.042
44616,3,1.75,-2,-1,3.938,4.162,3.025
30488,9.5,1.75,-1,-1,3.35,4.046,2.573
31524,9,1.75,-1,-1,3.237,4.058,2.518
32522,8.5,1.75,-1,-1,3.344,4.068,2.634
33383,8,1.75,-1,-1,3.263,4.078,2.64
34419,7.5,1.75,-1,-1,3.456,4.09,2.674
35531,7,1.75,-1,-1,3.466,4.1,2.662
36826,6.5,1.75,-1,-1,2.996,4.11,3.121
38151,6,1.75,-1,-1,2.995,4.125,3.229
40062,5.5,1.75,-1,-1,3.156,4.158,3.112
41540,5,1.75,-1,-1,3.267,4.166,2.284
43419,4,1.75,-1,-1,3.507,4.177,2.402
44616,3,1.75,-1,-1,3.506,4.185,2.356
30488,9.5,1,-3,-0.5,3.878,3.882,3.708
31524,9,1,-3,-0.5,3.884,3.894,3.699
32522,8.5,1,-3,-0.5,3.891,3.905,3.697
33383,8,1,-3,-0.5,3.895,3.915,3.691
34419,7.5,1,-3,-0.5,3.902,3.928,3.695
