#Teff,Styp,nH,U,dZ,T_H0,T_H+,T_H2
33383,8,1.25,-1,0.5,3.079,3.079,3.079
34419,7.5,1.25,-1,0.5,3.031,3.031,3.031
35531,7,1.25,-1,0.5,2.993,2.993,2.993
36826,6.5,1.25,-1,0.5,2.965,2.965,2.965
38151,6,1.25,-1,0.5,2.959,2.959,2.959
40062,5.5,1.25,-1,0.5,2.99,2.99,2.99
41540,5,1.25,-1,0.5,3.004,3.004,3.004
43419,4,1.25,-1,0.5,3.027,3.027,3.027
44616,3,1.25,-1,0.5,3.045,3.045,3.045
30488,9.5,1.5,-3,0.5,3.134,3.134,3.134
31524,9,1.5,-3,0.5,3.168,3.168,3.168
32522,8.5,1.5,-3,0.5,3.202,3.202,3.202
33383,8,1.5,-3,0.5,3.233,3.233,3.233
34419,7.5,1.5,-3,0.5,3.271,3.271,3.271
35531,7,1.5,-3,0.5,3.297,3.297,3.297
36826,6.5,1.5,-3,0.5,3.309,3.309,3.309
38151,6,1.5,-3,0.5,3.318,3.318,3.318
40062,5.5,1.5,-3,0.5,3.326,3.326,3.326
41540,5,1.5,-3,0.5,3.334,3.334,3.334
43419,4,1.5,-3,0.5,3.346,3.346,3.346
44616,3,1.5,-3,0.5,3.355,3.355,3.355
30488,9.5,1.5,-2,0.5,3.316,3.316,3.316
31524,9,1.5,-2,0.5,3.327,3.327,3.327
32522,8.5,1.5,-2,0.5,3.331,3.331,3.331
33383,8,1.5,-2,0.5,3.325,3.325,3.325
34419,7.5,1.5,-2,0.5,3.303,3.303,3.303
35531,7,1.5,-2,0.5,3.263,3.263,3.263
36826,6.5,1.5,-2,0.5,3.207,3.207,3.207
38151,6,1.5,-2,0.5,3.155,3.155,3.155
40062,5.5,1.5,-2,0.5,3.119,3.119,3.119
41540,5,1.5,-2,0.5,3.126,3.126,3.126
43419,4,1.5,-2,0.5,3.14,3.14,3.14
44616,3,1.5,-2,0.5,3.151,3.151,3.151
30488,9.5,1.5,-1,0.5,3.236,3.236,3.236
31524,9,1.5,-1,0.5,3.195,3.195,3.195
32522,8.5,1.5,-1,0.5,3.146,3.146,3.146
33383,8,1.5,-1,0.5,3.102,3.102,3.102
34419,7.5,1.5,-1,0.5,3.055,3.055,3.055
35531,7,1.5,-1,0.5,3.019,3.019,3.019
36826,6.5,1.5,-1,0.5,2.993,2.993,2.993
38151,6,1.5,-1,0.5,2.987,2.987,2.987
40062,5.5,1.5,-1,0.5,3.018,3.018,3.018
41540,5,1.5,-1,0.5,3.031,3.031,3.031
43419,4,1.5,-1,0.5,3.054,3.054,3.054
44616,3,1.5,-1,0.5,3.071,3.071,3.071
30488,9.5,1.75,-3,0.5,3.18,3.18,3.18
31524,9,1.75,-3,0.5,3.213,3.213,3.213
32522,8.5,1.75,-3,0.5,3.246,3.246,3.246
33383,8,1.75,-3,0.5,3.276,3.276,3.276
34419,7.5,1.75,-3,0.5,3.311,3.311,3.311
35531,7,1.75,-3,0.5,3.336,3.336,3.336
36826,6.5,1.75,-3,0.5,3.347,3.347,3.347
38151,6,1.75,-3,0.5,3.355,3.355,3.355
40062,5.5,1.75,-3,0.5,3.363,3.363,3.363
41540,5,1.75,-3,0.5,3.37,3.37,3.37
43419,4,1.75,-3,0.5,3.382,3.382,3.382
44616,3,1.75,-3,0.5,3.391,3.391,3.391
30488,9.5,1.75,-2,0.5,3.356,3.356,3.356
31524,9,1.75,-2,0.5,3.364,3.364,3.364
32522,8.5,1.75,-2,0.5,3.365,3.365,3.365
33383,8,1.75,-2,0.5,3.358,3.358,3.358
34419,7.5,1.75,-2,0.5,3.337,3.337,3.337
35531,7,1.75,-2,0.5,3.297,3.297,3.297
36826,6.5,1.75,-2,0.5,3.243,3.243,3.243
38151,6,1.75,-2,0.5,3.194,3.194,3.194
40062,5.5,1.75,-2,0.5,3.163,3.163,3.163
41540,5,1.75,-2,0.5,3.17,3.17,3.17
43419,4,1.75,-2,0.5,3.184,3.184,3.184
44616,3,1.75,-2,0.5,3.196,3.196,3.196
30488,9.5,1.75,-1,0.5,3.265,3.265,3.265
31524,9,1.75,-1,0.5,3.225,3.225,3.225
32522,8.5,1.75,-1,0.5,3.178,3.178,3.178
33383,8,1.75,-1,0.5,3.136,3.136,3.136
34419,7.5,1.75,-1,0.5,3.091,3.091,3.091
35531,7,1.75,-1,0.5,3.058,3.058,3.058
36826,6.5,1.75,-1,0.5,3.034,3.034,3.034
38151,6,1.75,-1,0.5,3.03,3.03,3.03
40062,5.5,1.75,-1,0.5,3.059,3.059,3.059
41540,5,1.75,-1,0.5,3.072,3.072,3.072
43419,4,1.75,-1,0.5,3.093,3.093,3.093
44616,3,1.75,-1,0.5,3.11,3.11,3.11
